Nome Parlamentar	Partido	UF	Titular/Suplente/Efetivado	Endereço	Anexo	Endereço (continuação)	Gabinete	Endereço (complemento)	Telefone	Fax	Mês Aniversário	Dia Aniversário	Correio Eletrônico	Nome sem Acento	Tratamento	Profissões	Nome Civil
CARLOS EDUARDO CADOCA	PCdoB	PE	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	423	Brasília - DF - CEP 70160-900	3215-5423	3215-2423	04	23	dep.carloseduardocadoca@camara.leg.br	CARLOS EDUARDO CADOCA	Exmo. Senhor Deputado	Advogado	CARLOS EDUARDO CINTRA DA COSTA PEREIRA
CARLOS GOMES	PRB	RS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	285	Brasília - DF - CEP 70160-900	3215-5285	3215-2285	06	13	dep.carlosgomes@camara.leg.br	CARLOS GOMES	Exmo. Senhor Deputado		ANTONIO CARLOS GOMES DA SILVA
CARLOS HENRIQUE GAGUIM	PMB	TO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	222	Brasília - DF - CEP 70160-900	3215-5222	3215-2222	04	21	dep.carloshenriquegaguim@camara.leg.br	CARLOS HENRIQUE GAGUIM	Exmo. Senhor Deputado		CARLOS HENRIQUE AMORIM
CARLOS MANATO	SD	ES	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	313	Brasília - DF - CEP 70160-900	3215-5313	3215-2313	08	07	dep.carlosmanato@camara.leg.br	CARLOS MANATO	Exmo. Senhor Deputado	Medico	CARLOS HUMBERTO MANNATO
CARLOS MARUN	PMDB	MS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	372	Brasília - DF - CEP 70160-900	3215-5372	3215-2372	11	21	dep.carlosmarun@camara.leg.br	CARLOS MARUN	Exmo. Senhor Deputado	Advogado(a),engenheiro Civil	CARLOS EDUARDO XAVIER MARUN
CARLOS MELLES	DEM	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	243	Brasília - DF - CEP 70160-900	3215-5243	3215-2243	03	11	dep.carlosmelles@camara.leg.br	CARLOS MELLES	Exmo. Senhor Deputado	Engenheiro Agrônomo e Empresário	CARLOS DO CARMO ANDRADE MELLES
CARLOS SAMPAIO	PSDB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	207	Brasília - DF - CEP 70160-900	3215-5207	3215-2207	03	31	dep.carlossampaio@camara.leg.br	CARLOS SAMPAIO	Exmo. Senhor Deputado	Promotor de Justiça.	CARLOS HENRIQUE FOCESI SAMPAIO
CARLOS ZARATTINI	PT	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	808	Brasília - DF - CEP 70160-900	3215-5808	3215-2808	06	08	dep.carloszarattini@camara.leg.br	CARLOS ZARATTINI	Exmo. Senhor Deputado	Economista	CARLOS ALBERTO ROLIM ZARATTINI
CARMEN ZANOTTO	PPS	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	240	Brasília - DF - CEP 70160-900	3215-5240	3215-2240	10	06	dep.carmenzanotto@camara.leg.br	CARMEN ZANOTTO	Exma. Senhora Deputada	Enfermeira	CARMEN EMÍLIA BONFÁ ZANOTTO
CÉLIO SILVEIRA	PSDB	GO	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	565	Brasília - DF - CEP 70160-900	3215-5565	3215-2565	09	19	dep.celiosilveira@camara.leg.br	CELIO SILVEIRA	Exmo. Senhor Deputado	Médico(a)	CELIO ANTONIO DA SILVEIRA
CELSO JACOB	PMDB	RJ	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	917	Brasília - DF - CEP 70160-900	3215-5917	3215-2917	01	19	dep.celsojacob@camara.leg.br	CELSO JACOB	Exmo. Senhor Deputado		CELSO ALENCAR RAMOS JACOB
CELSO MALDANER	PMDB	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	311	Brasília - DF - CEP 70160-900	3215-5311	3215-2311	08	30	dep.celsomaldaner@camara.leg.br	CELSO MALDANER	Exmo. Senhor Deputado	Economista, Empresário	CELSO MALDANER
CELSO RUSSOMANNO	PRB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	960	Brasília - DF - CEP 70160-900	3215-5960	3215-2960	08	20	dep.celsorussomanno@camara.leg.br	CELSO RUSSOMANNO	Exmo. Senhor Deputado	Apresentador de Televisão, Repórter e Bacharel Em Direito	CELSO UBIRAJARA RUSSOMANNO
CÉSAR HALUM	PRB	TO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	422	Brasília - DF - CEP 70160-900	3215-5422	3215-2422	03	10	dep.cesarhalum@camara.leg.br	CESAR HALUM	Exmo. Senhor Deputado	Médico Veterinário	CESAR HANNA HALUM
CÉSAR MESSIAS	PSB	AC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	956	Brasília - DF - CEP 70160-900	3215-5956	3215-2956	07	05	dep.cesarmessias@camara.leg.br	CESAR MESSIAS	Exmo. Senhor Deputado	Pecuarista	CARLOS CESAR CORREIA DE MESSIAS
CHICO ALENCAR	PSOL	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	848	Brasília - DF - CEP 70160-900	3215-5848	3215-2848	10	19	dep.chicoalencar@camara.leg.br	CHICO ALENCAR	Exmo. Senhor Deputado	Professor de Ensino Superior	FRANCISCO RODRIGUES DE ALENCAR FILHO
CHICO D'ANGELO	PT	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	542	Brasília - DF - CEP 70160-900	3215-5542	3215-2542	02	11	dep.chicodangelo@camara.leg.br	CHICO D'ANGELO	Exmo. Senhor Deputado	Médico	FRANCISCO JOSÉ D'ANGELO PINTO
CHICO LOPES	PCdoB	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	310	Brasília - DF - CEP 70160-900	3215-5310	3215-2310	08	13	dep.chicolopes@camara.leg.br	CHICO LOPES	Exmo. Senhor Deputado	Professor e Auditor-fiscal	FRANCISCO LOPES DA SILVA
CHRISTIANE DE SOUZA YARED	PTN	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	201	Brasília - DF - CEP 70160-900	3215-5201	3215-2201	02	23	dep.christianedesouzayared@camara.leg.br	CHRISTIANE DE SOUZA YARED	Exma. Senhora Deputada		CHRISTIANE DE SOUZA YARED
CÍCERO ALMEIDA	PSD	AL	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	760	Brasília - DF - CEP 70160-900	3215-5760	3215-2760	01	08	dep.ciceroalmeida@camara.leg.br	CICERO ALMEIDA	Exmo. Senhor Deputado	Cantor,radialista,repórter	JOSÉ CÍCERO SOARES DE ALMEIDA
CLARISSA GAROTINHO	PR	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	714	Brasília - DF - CEP 70160-900	3215-5714	3215-2714	07	02	dep.clarissagarotinho@camara.leg.br	CLARISSA GAROTINHO	Exma. Senhora Deputada		CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA
CLAUDIO CAJADO	DEM	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	630	Brasília - DF - CEP 70160-900	3215-5630	3215-2630	12	01	dep.claudiocajado@camara.leg.br	CLAUDIO CAJADO	Exmo. Senhor Deputado	Advogado	CLÁUDIO CAJADO SAMPAIO
CLEBER VERDE	PRB	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	710	Brasília - DF - CEP 70160-900	3215-5710	3215-2710	05	10	dep.cleberverde@camara.leg.br	CLEBER VERDE	Exmo. Senhor Deputado	Vendedor Autônomo, Professor, Servidor Público, Político e Bacharel Em Direito	CLEBER VERDE CORDEIRO MENDES
CONCEIÇÃO SAMPAIO	PP	AM	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	515	Brasília - DF - CEP 70160-900	3215-5515	3215-2515	01	01	dep.conceicaosampaio@camara.leg.br	CONCEICAO SAMPAIO	Exma. Senhora Deputada		MARIA DA CONCEICAO SAMPAIO MOURA
COVATTI FILHO	PP	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	228	Brasília - DF - CEP 70160-900	3215-5228	3215-2228	07	25	dep.covattifilho@camara.leg.br	COVATTI FILHO	Exmo. Senhor Deputado		LUIS ANTONIO FRANCISCATTO COVATTI
CRISTIANE BRASIL	PTB	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	644	Brasília - DF - CEP 70160-900	3215-5644	3215-2644	12	21	dep.cristianebrasil@camara.leg.br	CRISTIANE BRASIL	Exma. Senhora Deputada	Advogada	CRISTIANE BRASIL FRANCISCO
DAGOBERTO	PDT	MS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	654	Brasília - DF - CEP 70160-900	3215-5654	3215-2654	07	21	dep.dagoberto@camara.leg.br	DAGOBERTO	Exmo. Senhor Deputado	Advogado e Administrador de Empresas	DAGOBERTO NOGUEIRA FILHO
DAMIÃO FELICIANO	PDT	PB	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	938	Brasília - DF - CEP 70160-900	3215-5938	3215-2938	04	28	dep.damiaofeliciano@camara.leg.br	DAMIAO FELICIANO	Exmo. Senhor Deputado	Médico, Empresário e Radialista	DAMIÃO FELICIANO DA SILVA
DÂMINA PEREIRA	PMB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	434	Brasília - DF - CEP 70160-900	3215-5434	3215-2434	12	02	dep.daminapereira@camara.leg.br	DAMINA PEREIRA	Exma. Senhora Deputada		DAMINA DE CARVALHO PEREIRA
DANIEL ALMEIDA	PCdoB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	317	Brasília - DF - CEP 70160-900	3215-5317	3215-2317	01	21	dep.danielalmeida@camara.leg.br	DANIEL ALMEIDA	Exmo. Senhor Deputado	Industriário	DANIEL GOMES DE ALMEIDA
DANIEL COELHO	PSDB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	813	Brasília - DF - CEP 70160-900	3215-5813	3215-2813	11	04	dep.danielcoelho@camara.leg.br	DANIEL COELHO	Exmo. Senhor Deputado	Administrador	DANIEL PIRES COELHO
DANIEL VILELA	PMDB	GO	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	471	Brasília - DF - CEP 70160-900	3215-5471	3215-2471	10	23	dep.danielvilela@camara.leg.br	DANIEL VILELA	Exmo. Senhor Deputado		DANIEL ELIAS CARVALHO VILELA
DANILO FORTE	PSB	CE	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	384	Brasília - DF - CEP 70160-900	3215-5384	3215-2384	09	01	dep.daniloforte@camara.leg.br	DANILO FORTE	Exmo. Senhor Deputado	Advogado	FRANCISCO DANILO BASTOS FORTE
DANRLEI DE DEUS HINTERHOLZ	PSD	RS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	566	Brasília - DF - CEP 70160-900	3215-5566	3215-2566	04	18	dep.danrleidedeushinterholz@camara.leg.br	DANRLEI DE DEUS HINTERHOLZ	Exmo. Senhor Deputado	Atleta Profissional de Futebol	DANRLEI DE DEUS HINTERHOLZ
DARCÍSIO PERONDI	PMDB	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	518	Brasília - DF - CEP 70160-900	3215-5518	3215-2518	04	02	dep.darcisioperondi@camara.leg.br	DARCISIO PERONDI	Exmo. Senhor Deputado	Médico	DARCÍSIO PAULO PERONDI
DAVIDSON MAGALHÃES	PCdoB	BA	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	826	Brasília - DF - CEP 70160-900	3215-5826	3215-2826	11	07	dep.davidsonmagalhaes@camara.leg.br	DAVIDSON MAGALHAES	Exmo. Senhor Deputado		DAVIDSON DE MAGALHÃES SANTOS
DÉCIO LIMA	PT	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	218	Brasília - DF - CEP 70160-900	3215-5218	3215-2218	10	01	dep.deciolima@camara.leg.br	DECIO LIMA	Exmo. Senhor Deputado	Professor de Ensino Médio e Advogado	DÉCIO NERY DE LIMA
DELEGADO ÉDER MAURO	PSD	PA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	586	Brasília - DF - CEP 70160-900	32155586	32152586	12	14	dep.delegadoedermauro@camara.leg.br	DELEGADO EDER MAURO	Exmo. Senhor Deputado		EDER MAURO CARDOSO BARRA
DELEGADO EDSON MOREIRA	PTN	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	933	Brasília - DF - CEP 70160-900	3215-5933	3215-2933	04	16	dep.delegadoedsonmoreira@camara.leg.br	DELEGADO EDSON MOREIRA	Exmo. Senhor Deputado	Advogado(a),delegado de Polícia Civil,policial Militar,professor de Direito	EDSON MOREIRA DA SILVA
DELEGADO WALDIR	PSDB	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	645	Brasília - DF - CEP 70160-900	3215-5645	3215-2645	11	28	dep.delegadowaldir@camara.leg.br	DELEGADO WALDIR	Exmo. Senhor Deputado		WALDIR SOARES DE OLIVEIRA
DIEGO ANDRADE	PSD	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	307	Brasília - DF - CEP 70160-900	3215-5307	3215-2307	08	08	dep.diegoandrade@camara.leg.br	DIEGO ANDRADE	Exmo. Senhor Deputado	Administrador de Empresas	DIEGO LEONARDO DE ANDRADE CARVALHO
DIEGO GARCIA	PHS	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	745	Brasília - DF - CEP 70160-900	3215-5745	3215-2745	10	10	dep.diegogarcia@camara.leg.br	DIEGO GARCIA	Exmo. Senhor Deputado	Autônomo	DIEGO ALEXSANDER GONCALO PAULA GARCIA
DILCEU SPERAFICO	PP	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	746	Brasília - DF - CEP 70160-900	3215-5746	3215-2746	01	26	dep.dilceusperafico@camara.leg.br	DILCEU SPERAFICO	Exmo. Senhor Deputado	Industrial, Bacharel Em Direito, Filósofo e Agropecuarista	DILCEU JOÃO SPERAFICO
DIMAS FABIANO	PP	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	325	Brasília - DF - CEP 70160-900	3215-5325	3215-2325	05	23	dep.dimasfabiano@camara.leg.br	DIMAS FABIANO	Exmo. Senhor Deputado		DIMAS FABIANO TOLEDO JÚNIOR
DOMINGOS NETO	PMB	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	546	Brasília - DF - CEP 70160-900	3215-5546	3215-2546	04	29	dep.domingosneto@camara.leg.br	DOMINGOS NETO	Exmo. Senhor Deputado	Empresário	DOMINGOS GOMES DE AGUIAR NETO
DOMINGOS SÁVIO	PSDB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	345	Brasília - DF - CEP 70160-900	3215-5345	3215-2345	03	25	dep.domingossavio@camara.leg.br	DOMINGOS SAVIO	Exmo. Senhor Deputado	Médico Veterinário	DOMINGOS SÁVIO CAMPOS RESENDE
DR. JOÃO	PR	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	911	Brasília - DF - CEP 70160-900	3215-5911	3215-2911	08	05	dep.dr.joao@camara.leg.br	DR. JOAO	Exmo. Senhor Deputado	Médico(a)	JOAO FERREIRA NETO
DR. JORGE SILVA	PROS	ES	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	227	Brasília - DF - CEP 70160-900	3215-5227	3215-2227	06	03	dep.dr.jorgesilva@camara.leg.br	DR. JORGE SILVA	Exmo. Senhor Deputado	Médico	JORGE SILVA
DR. SINVAL MALHEIROS	PMB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	520	Brasília - DF - CEP 70160-900	3215-5520	3215-2520	02	23	dep.dr.sinvalmalheiros@camara.leg.br	DR. SINVAL MALHEIROS	Exmo. Senhor Deputado		SINVAL MALHEIROS PINTO JÚNIOR
DULCE MIRANDA	PMDB	TO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	530	Brasília - DF - CEP 70160-900	3215-5530	3215-2530	12	15	dep.dulcemiranda@camara.leg.br	DULCE MIRANDA	Exma. Senhora Deputada		DULCE FERREIRA PAGANI MIRANDA
EDINHO ARAÚJO	PMDB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	418	Brasília - DF - CEP 70160-900	3215-5418	3215-2418	07	30	dep.edinhoaraujo@camara.leg.br	EDINHO ARAUJO	Exmo. Senhor Deputado	Advogado, Professor	EDSON EDINHO COELHO ARAÚJO
EDINHO BEZ	PMDB	SC	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	703	Brasília - DF - CEP 70160-900	3215-5703	3215-2703	03	06	dep.edinhobez@camara.leg.br	EDINHO BEZ	Exmo. Senhor Deputado	Contador e Bancário	EDSON BEZ DE OLIVEIRA
EDIO LOPES	PMDB	RR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	408	Brasília - DF - CEP 70160-900	3215-5408	3215-2408	01	04	dep.ediolopes@camara.leg.br	EDIO LOPES	Exmo. Senhor Deputado	Servidor Público	ÉDIO VIEIRA LOPES
EDMAR ARRUDA	PSC	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	962	Brasília - DF - CEP 70160-900	3215-5962	3215-2962	09	26	dep.edmararruda@camara.leg.br	EDMAR ARRUDA	Exmo. Senhor Deputado	Economista	EDMAR DE SOUZA ARRUDA
EDMILSON RODRIGUES	PSOL	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	301	Brasília - DF - CEP 70160-900	3215-5301	3215-2301	05	26	dep.edmilsonrodrigues@camara.leg.br	EDMILSON RODRIGUES	Exmo. Senhor Deputado	Professor(a)	EDMILSON BRITO RODRIGUES
EDUARDO BARBOSA	PSDB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	540	Brasília - DF - CEP 70160-900	3215-1540	3215-2540	08	25	dep.eduardobarbosa@camara.leg.br	EDUARDO BARBOSA	Exmo. Senhor Deputado	Médico	EDUARDO LUIZ BARROS BARBOSA
EDUARDO BOLSONARO	PSC	SP	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	481	Brasília - DF - CEP 70160-900	3215-5481	3215-2481	07	10	dep.eduardobolsonaro@camara.leg.br	EDUARDO BOLSONARO	Exmo. Senhor Deputado	Policial Federal	EDUARDO NANTES BOLSONARO
EDUARDO CUNHA	PMDB	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	510	Brasília - DF - CEP 70160-900	3215-5510	3215-2510	09	29	dep.eduardocunha@camara.leg.br	EDUARDO CUNHA	Exmo. Senhor Deputado	Economista	EDUARDO COSENTINO DA CUNHA
EDUARDO CURY	PSDB	SP	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	368	Brasília - DF - CEP 70160-900	3215-5368	3215-2368	09	19	dep.eduardocury@camara.leg.br	EDUARDO CURY	Exmo. Senhor Deputado	Engenheiro Mecânico	EDUARDO PEDROSA CURY
EDUARDO DA FONTE	PP	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	628	Brasília - DF - CEP 70160-900	3215-5628	3215-2628	10	17	dep.eduardodafonte@camara.leg.br	EDUARDO DA FONTE	Exmo. Senhor Deputado	Empresário	EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA
EFRAIM FILHO	DEM	PB	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	744	Brasília - DF - CEP 70160-900	3215-5744	3215-2744	03	18	dep.efraimfilho@camara.leg.br	EFRAIM FILHO	Exmo. Senhor Deputado	Advogado	EFRAIM DE ARAÚJO MORAIS FILHO
ELCIONE BARBALHO	PMDB	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	919	Brasília - DF - CEP 70160-900	3215-5919	3215-2919	10	05	dep.elcionebarbalho@camara.leg.br	ELCIONE BARBALHO	Exma. Senhora Deputada	Pedagoga	ELCIONE THEREZINHA ZAHLUTH BARBALHO
ELI CORRÊA FILHO	DEM	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	850	Brasília - DF - CEP 70160-900	3215-5850	3215-2850	01	13	dep.elicorreafilho@camara.leg.br	ELI CORREA FILHO	Exmo. Senhor Deputado	Radialista	ADRIANO ELI CORRÊA
ELIZEU DIONIZIO	PSDB	MS	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	531	Brasília - DF - CEP 70160-900	3215-5531	3215-2531	01	24	dep.elizeudionizio@camara.leg.br	ELIZEU DIONIZIO	Exmo. Senhor Deputado		ELIZEU DIONIZIO SOUZA  DA SILVA
ELIZIANE GAMA	REDE	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	205	Brasília - DF - CEP 70160-900	3215-5205	3215-2205	02	27	dep.elizianegama@camara.leg.br	ELIZIANE GAMA	Exma. Senhora Deputada		ELIZIANE PEREIRA GAMA FERREIRA
ELMAR NASCIMENTO	DEM	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	935	Brasília - DF - CEP 70160-900	3215-5935	3215-2935	07	06	dep.elmarnascimento@camara.leg.br	ELMAR NASCIMENTO	Exmo. Senhor Deputado	Advogado(a)	ELMAR JOSE VIEIRA NASCIMENTO
ENIO VERRI	PT	PR	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	472	Brasília - DF - CEP 70160-900	3215-5472	3215-2472	03	27	dep.enioverri@camara.leg.br	ENIO VERRI	Exmo. Senhor Deputado		ENIO JOSÉ VERRI
ERIKA KOKAY	PT	DF	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	203	Brasília - DF - CEP 70160-900	3215-5203	3215-2203	08	15	dep.erikakokay@camara.leg.br	ERIKA KOKAY	Exma. Senhora Deputada	Bancário	ÉRIKA JUCÁ KOKAY
ERIVELTON SANTANA	PSC	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	756	Brasília - DF - CEP 70160-900	3215-5756	3215-2756	01	29	dep.eriveltonsantana@camara.leg.br	ERIVELTON SANTANA	Exmo. Senhor Deputado	Assessor Político, Auxiliar de Administração	ERIVELTON LIMA SANTANA
EROS BIONDINI	PTB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	321	Brasília - DF - CEP 70160-900	3215-5321	3215-2321	05	20	dep.erosbiondini@camara.leg.br	EROS BIONDINI	Exmo. Senhor Deputado	Médico Veterinário, Músico	EROS FERREIRA BIONDINI
ESPERIDIÃO AMIN	PP	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	252	Brasília - DF - CEP 70160-900	3215-5252	3215-2252	12	21	dep.esperidiaoamin@camara.leg.br	ESPERIDIAO AMIN	Exmo. Senhor Deputado	Administrador, Advogado, Professor Universitário	ESPERIDIÃO AMIN HELOU FILHO
EVAIR DE MELO	PV	ES	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	443	Brasília - DF - CEP 70160-900	3215-5443	3215-2443	04	02	dep.evairdemelo@camara.leg.br	EVAIR DE MELO	Exmo. Senhor Deputado		EVAIR VIEIRA DE MELO
EVANDRO GUSSI	PV	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	433	Brasília - DF - CEP 70160-900	3215-5433	3215-2433	09	11	dep.evandrogussi@camara.leg.br	EVANDRO GUSSI	Exmo. Senhor Deputado	Advogado(a),professor Universitário	EVANDRO HERRERA BERTONE GUSSI
EVANDRO ROMAN	PSD	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	303	Brasília - DF - CEP 70160-900	3215-5303	3215-2303	03	03	dep.evandroroman@camara.leg.br	EVANDRO ROMAN	Exmo. Senhor Deputado	Professor de Educação Física	EVANDRO ROGERIO ROMAN
EXPEDITO NETTO	SD	RO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	943	Brasília - DF - CEP 70160-900	3215-5943	3215-2943	10	05	dep.expeditonetto@camara.leg.br	EXPEDITO NETTO	Exmo. Senhor Deputado		EXPEDITO GONCALVES FERREIRA NETTO
FÁBIO FARIA	PSD	RN	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	706	Brasília - DF - CEP 70160-900	3215-5706	3215-2706	09	01	dep.fabiofaria@camara.leg.br	FABIO FARIA	Exmo. Senhor Deputado	Administrador de Empresas	FÁBIO SALUSTINO MESQUITA DE FARIA
FABIO GARCIA	PSB	MT	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	278	Brasília - DF - CEP 70160-900	3215-5278	3215-2278	06	29	dep.fabiogarcia@camara.leg.br	FABIO GARCIA	Exmo. Senhor Deputado	Engenheiro Civil	FABIO PAULINO GARCIA
FÁBIO MITIDIERI	PSD	SE	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	286	Brasília - DF - CEP 70160-900	3215-5286	3215-2286	02	24	dep.fabiomitidieri@camara.leg.br	FABIO MITIDIERI	Exmo. Senhor Deputado		FABIO CRUZ MITIDIERI
FÁBIO RAMALHO	PMB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	452	Brasília - DF - CEP 70160-900	3215-5452	3215-2452	12	22	dep.fabioramalho@camara.leg.br	FABIO RAMALHO	Exmo. Senhor Deputado	Empresário	FÁBIO AUGUSTO RAMALHO DOS SANTOS
FABIO REIS	PMDB	SE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	456	Brasília - DF - CEP 70160-900	3215-5456	3215-2456	04	15	dep.fabioreis@camara.leg.br	FABIO REIS	Exmo. Senhor Deputado		FABIO DE ALMEIDA REIS
FÁBIO SOUSA	PSDB	GO	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	271	Brasília - DF - CEP 70160-900	3215-5271	3215-2271	09	11	dep.fabiosousa@camara.leg.br	FABIO SOUSA	Exmo. Senhor Deputado	Apresentador de Televisão,gestor Público,pastor,radialista	FABIO FERNANDES DE SOUSA
FAUSTO PINATO	PRB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	562	Brasília - DF - CEP 70160-900	3215-5562	3215-2562	06	01	dep.faustopinato@camara.leg.br	FAUSTO PINATO	Exmo. Senhor Deputado	Advogado(a)	FAUSTO RUY PINATO
FELIPE BORNIER	PSD	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	216	Brasília - DF - CEP 70160-900	3215-5216	3215-2216	12	26	dep.felipebornier@camara.leg.br	FELIPE BORNIER	Exmo. Senhor Deputado	Empresário	FELIPE LEONE BORNIER DE OLIVEIRA
FELIPE MAIA	DEM	RN	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	528	Brasília - DF - CEP 70160-900	3215-5528	3215-2528	12	07	dep.felipemaia@camara.leg.br	FELIPE MAIA	Exmo. Senhor Deputado	Advogado	FELIPE CATALÃO MAIA
FÉLIX MENDONÇA JÚNIOR	PDT	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	912	Brasília - DF - CEP 70160-900	3215-5912	3215-2912	11	29	dep.felixmendoncajunior@camara.leg.br	FELIX MENDONCA JUNIOR	Exmo. Senhor Deputado		FELIX DE ALMEIDA MENDONÇA JÚNIOR
FERNANDO COELHO FILHO	PSB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	662	Brasília - DF - CEP 70160-900	3215-5662	3215-2662	02	28	dep.fernandocoelhofilho@camara.leg.br	FERNANDO COELHO FILHO	Exmo. Senhor Deputado	Administrador de Empresas	FERNANDO BEZERRA DE SOUZA COELHO FILHO
